ID;Sorting_completed_YN;Sorting_house;Sorting_house_wish;age;occupation;gender;Country_C_G_O;Bravery;Hardwork;Intelligence;Ambition;Daring;Dedication;Knowledge;Cunning;Extraverted;Agreeable;Clever;Manipulative;SD3_Machiavellianism;SD3_Narcissism;SD3_Psychopathy;IPIP_Extraversion;IPIP_Agreeableness;IPIP_Conscientiousness;IPIP_EmStability;IPIP_Intellect;PVQ_01;PVQ_02;PVQ_03;PVQ_04;PVQ_05;PVQ_06;PVQ_07;PVQ_08;PVQ_09;PVQ_10;PVQ_11;PVQ_12;PVQ_13;PVQ_14;PVQ_15;PVQ_16;PVQ_17;PVQ_18;PVQ_19;PVQ_20;PVQ_21;PVQ_22;PVQ_23;PVQ_24;PVQ_25;PVQ_26;PVQ_27;PVQ_28;PVQ_29;PVQ_30;PVQ_31;PVQ_32;PVQ_33;PVQ_34;PVQ_35;PVQ_36;PVQ_37;PVQ_38;PVQ_39;PVQ_40;PVQ_41;PVQ_42;PVQ_43;PVQ_44;PVQ_45;PVQ_46;PVQ_47;PVQ_48;PVQ_49;PVQ_50;PVQ_51;PVQ_52;PVQ_53;PVQ_54;PVQ_55;PVQ_56;PVQ_57
750;Yes;Hufflepuff;Gryffindor;;Employed;Female;Others;Gryffindor;Hufflepuff;Ravenclaw;Hufflepuff;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Hufflepuff;Gryffindor;Ravenclaw;Slytherin;26;28;28;40;44;36;26;42;5;3;6;4;6;2;5;5;4;6;5;3;4;5;3;6;6;2;5;3;3;4;5;3;5;4;5;5;2;4;2;5;1;6;5;4;6;6;5;3;1;4;6;2;5;6;4;3;4;4;2;5;3;5;4;6;4
882;Yes;Slytherin;Slytherin;11;Student;Female;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Slytherin;Ravenclaw;Slytherin;Hufflepuff;Hufflepuff;Ravenclaw;Slytherin;41;31;30;26;26;24;36;30;5;5;5;6;6;3;2;3;5;4;6;2;6;6;3;6;6;6;4;4;3;1;5;5;5;5;6;4;5;4;4;5;6;6;6;6;4;3;5;6;4;3;4;2;2;6;6;6;6;6;4;1;4;4;5;6;6
164;Yes;Gryffindor;Hufflepuff;12;Student;Male;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Ravenclaw;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Slytherin;Slytherin;17;15;12;25;45;37;24;38;4;4;4;6;5;2;5;4;4;3;5;2;4;5;6;5;5;4;5;1;0;5;6;4;5;4;6;4;1;2;5;5;3;5;4;5;6;6;3;4;1;6;5;1;4;4;4;5;3;5;6;5;5;4;3;3;4
652;Yes;Ravenclaw;Ravenclaw;13;Pupil;Female;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Slytherin;Hufflepuff;Ravenclaw;Gryffindor;35;28;12;24;48;41;15;49;6;6;6;6;6;6;6;6;3;6;6;6;6;6;6;6;6;6;3;3;6;4;6;6;6;6;6;6;2;6;6;6;6;6;6;6;5;6;5;6;6;6;6;5;6;4;6;6;4;6;6;6;6;6;6;6;6
726;Yes;Gryffindor;Gryffindor;13;Student;Female;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Slytherin;Ravenclaw;Ravenclaw;Slytherin;Hufflepuff;Hufflepuff;Ravenclaw;Slytherin;30;22;23;18;32;32;29;36;4;4;6;5;4;4;6;4;4;5;5;2;3;4;4;4;5;3;5;2;3;4;4;5;5;3;6;3;6;3;5;6;3;2;4;6;6;6;6;3;6;5;5;2;4;6;4;5;4;4;3;4;4;5;6;5;2
913;Yes;Gryffindor;Gryffindor;13;Student;Female;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;31;34;34;40;35;30;36;36;5;5;6;4;5;4;5;5;5;4;5;3;5;6;4;5;5;4;6;4;4;2;4;5;5;5;6;6;3;4;2;5;3;5;5;5;5;5;5;4;3;4;6;2;5;6;4;4;3;5;3;5;2;3;5;6;4
920;Yes;Slytherin;Slytherin;13;Pupil;Female;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;36;17;21;16;41;36;21;46;6;6;5;5;6;1;5;5;2;3;5;3;4;6;4;6;6;3;3;2;2;1;6;1;5;4;5;4;2;4;3;3;1;5;4;4;6;6;6;5;1;4;6;1;4;4;3;2;3;5;5;6;3;6;5;6;6
928;Yes;Ravenclaw;Ravenclaw;13;Student;Female;Others;Gryffindor;Ravenclaw;Ravenclaw;Slytherin;Gryffindor;Ravenclaw;Ravenclaw;Slytherin;Hufflepuff;Hufflepuff;Slytherin;Slytherin;20;24;17;44;49;41;19;39;4;6;3;6;6;2;6;6;3;3;6;1;3;6;5;6;3;3;3;1;4;1;6;1;6;6;6;6;1;2;3;4;5;6;5;6;6;6;5;6;2;3;6;1;6;4;2;3;4;3;4;6;3;6;4;5;6
949;Yes;Hufflepuff;Ravenclaw;13;Student;Female;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;28;28;21;35;36;35;24;37;3;5;5;5;4;3;4;4;4;4;6;3;5;4;4;3;4;4;4;3;3;4;4;4;5;6;5;4;4;4;5;4;4;4;4;5;5;4;4;4;3;5;5;3;4;4;4;4;5;4;4;5;5;4;4;4;4
587;Yes;Slytherin;Slytherin;14;Student;Female;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;36;37;26;40;45;37;18;49;6;6;5;3;5;3;3;6;6;6;5;6;6;4;4;6;6;3;6;6;6;2;6;6;6;6;6;6;6;6;3;6;3;4;5;4;6;4;6;3;5;3;6;5;6;6;6;6;6;6;4;6;5;5;6;6;6
740;Yes;Gryffindor;Gryffindor;14;Pupil;Female;Others;Gryffindor;Ravenclaw;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Hufflepuff;Hufflepuff;Ravenclaw;Slytherin;26;18;22;34;35;35;29;36;3;3;5;5;4;3;4;3;5;5;5;2;5;4;3;6;6;2;5;4;2;3;5;5;6;5;5;6;2;5;2;4;3;4;3;6;5;4;5;3;3;4;6;2;3;6;5;5;4;3;2;4;3;3;5;4;3
745;Yes;Ravenclaw;Ravenclaw;14;Student;Female;Others;Gryffindor;Ravenclaw;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;21;18;14;25;50;49;24;49;6;6;6;6;6;5;6;6;6;6;6;4;6;6;5;6;6;5;6;4;6;6;6;6;6;6;6;5;4;6;6;6;6;6;6;6;6;6;6;6;3;6;6;2;6;6;6;5;6;6;6;6;6;6;6;6;6
798;Yes;Gryffindor;Gryffindor;14;Pupil;Female;Croatia;Gryffindor;Slytherin;Ravenclaw;Slytherin;Gryffindor;Slytherin;Ravenclaw;Slytherin;Slytherin;Hufflepuff;Ravenclaw;Slytherin;20;10;19;25;46;27;30;44;6;3;5;3;5;1;6;6;1;3;5;2;6;6;1;6;4;2;6;2;6;3;6;1;6;6;6;4;1;4;1;2;1;6;4;6;6;6;6;3;1;2;6;1;6;6;6;5;1;1;2;6;2;6;6;5;6
837;No;Slytherin;Slytherin;14;Student;Female;Others;Gryffindor;Ravenclaw;Ravenclaw;Gryffindor;Gryffindor;Gryffindor;Ravenclaw;Slytherin;Hufflepuff;Hufflepuff;Ravenclaw;Slytherin;31;33;37;16;45;31;22;45;5;4;5;5;5;4;5;3;5;3;5;3;4;5;4;5;4;5;5;2;3;4;5;5;5;5;5;4;2;3;3;5;4;5;4;3;4;5;4;4;3;5;4;3;3;3;5;4;5;5;4;4;2;3;5;4;5
839;Yes;Ravenclaw;Slytherin;14;Pupil;Male;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;39;43;34;41;34;38;26;42;6;4;3;1;1;6;1;3;6;2;2;6;6;1;1;6;6;3;6;6;0;1;6;6;4;4;6;4;6;6;1;6;4;6;6;6;2;2;5;1;6;1;4;6;1;3;6;6;6;6;1;2;2;1;3;6;3
853;Yes;Hufflepuff;Hufflepuff;14;Student;Female;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;17;16;20;38;46;28;30;39;3;4;3;4;6;1;3;2;1;4;6;2;4;6;5;5;4;3;5;1;2;2;4;2;6;5;6;6;2;1;5;3;6;6;4;2;6;5;3;3;1;5;5;1;3;5;5;3;1;4;2;6;1;4;6;5;6
